dataset,algorithm,k,distance metric,policy,efficiency,accuracy,recall
datasetsCBR/credit-a,Selected KNN L1,7,Hamming,voting,0.665143704414,0.597985020095,0.583918854207
datasetsCBR/credit-a,Basic KNN,7,Hamming,similar,0.681895685196,0.442492997199,0.5
datasetsCBR/credit-a,Weighted KNN TreeClassifier,7,Hamming,similar,0.727934193611,0.442492997199,0.5
datasetsCBR/credit-a,Weighted KNN Relieff,7,Hamming,similar,5.126313591,0.442492997199,0.5
datasetsCBR/credit-a,Selected KNN variance,7,Hamming,similar,0.697114610672,0.442492997199,0.5
datasetsCBR/credit-a,Selected KNN L1,7,Hamming,similar,0.632273054123,0.442492997199,0.5
datasetsCBR/credit-a,Basic KNN,7,Euclidean,voting,1.05131385326,0.687163561077,0.697659004832
datasetsCBR/credit-a,Weighted KNN TreeClassifier,7,Euclidean,voting,1.24903359413,0.687163561077,0.697659004832
datasetsCBR/credit-a,Weighted KNN Relieff,7,Euclidean,voting,5.56553959846,0.698549506759,0.712201689086
datasetsCBR/credit-a,Selected KNN variance,7,Euclidean,voting,1.06123719215,0.685692972841,0.696343215358
datasetsCBR/credit-a,Selected KNN L1,7,Euclidean,voting,0.992837452888,0.657751796371,0.67274672413
datasetsCBR/credit-a,Basic KNN,7,Euclidean,similar,1.13387072086,0.520931677019,0.527910626442
datasetsCBR/credit-a,Weighted KNN TreeClassifier,7,Euclidean,similar,1.37306900024,0.520931677019,0.527910626442
datasetsCBR/credit-a,Weighted KNN Relieff,7,Euclidean,similar,5.96331226826,0.521288515406,0.530305820382
datasetsCBR/credit-a,Selected KNN variance,7,Euclidean,similar,1.13166098595,0.520973693825,0.527262635497
datasetsCBR/credit-a,Selected KNN L1,7,Euclidean,similar,1.1275660038,0.520973693825,0.527262635497
datasetsCBR/credit-a,Basic KNN,7,Cosine,voting,2.81833894253,0.49072524662,0.539236863872
datasetsCBR/credit-a,Weighted KNN TreeClassifier,7,Cosine,voting,2.96105716228,0.49072524662,0.539236863872
datasetsCBR/credit-a,Weighted KNN Relieff,7,Cosine,voting,7.57325730324,0.451189867251,0.50574202255
datasetsCBR/credit-a,Selected KNN variance,7,Cosine,voting,2.76657726765,0.48778407015,0.536605284924
datasetsCBR/credit-a,Selected KNN L1,7,Cosine,voting,2.67360029221,0.480431128973,0.530728091942
datasetsCBR/credit-a,Basic KNN,7,Cosine,similar,2.80784480572,0.594059188893,0.602237821601
datasetsCBR/credit-a,Weighted KNN TreeClassifier,7,Cosine,similar,2.99579205513,0.594059188893,0.602237821601
datasetsCBR/credit-a,Weighted KNN Relieff,7,Cosine,similar,7.58136820793,0.586496772622,0.603393844413
datasetsCBR/credit-a,Selected KNN variance,7,Cosine,similar,2.77264847755,0.598492266472,0.605503460885
datasetsCBR/credit-a,Selected KNN L1,7,Cosine,similar,2.65828380585,0.584206552186,0.59665317139
datasetsCBR/credit-a,Basic KNN,7,Canberra,voting,5.55335931778,0.448143344294,0.50126115537
datasetsCBR/credit-a,Weighted KNN TreeClassifier,7,Canberra,voting,6.79649071693,0.448143344294,0.50126115537
datasetsCBR/credit-a,Weighted KNN Relieff,7,Canberra,voting,11.3702911139,0.442492997199,0.5
datasetsCBR/credit-a,Selected KNN variance,7,Canberra,voting,5.53329100609,0.448143344294,0.50126115537
datasetsCBR/credit-a,Selected KNN L1,7,Canberra,voting,4.07011077404,0.446672756059,0.500997997475
datasetsCBR/credit-a,Basic KNN,7,Canberra,similar,5.59449400902,0.442365119961,0.488431718253
datasetsCBR/credit-a,Weighted KNN TreeClassifier,7,Canberra,similar,6.83748300076,0.442365119961,0.488431718253
datasetsCBR/credit-a,Weighted KNN Relieff,7,Canberra,similar,11.3933800936,0.442492997199,0.5
datasetsCBR/credit-a,Selected KNN variance,7,Canberra,similar,5.59339268208,0.440915844599,0.486434199643
datasetsCBR/credit-a,Selected KNN L1,7,Canberra,similar,5.09668221474,0.445327609305,0.492135954029
